country,city,bar,address,phone,email ,website,remarks,redbar
Argentina,Buenos Aires,Bahia Grande Nordelta Tigre,Boulevard Del Mirador 220  Edificio Studios 1 – L8Y9  BA,(54) 1148718098,,,,n
Argentina,Buenos Aires,Casa Bar,1150 Rodriguez Pena,,,,"We have 3 each 40"" Sony LCD flat screens with the Direct TV NFL sports package",y
Argentina,Buenos Aires,El Alamo,between Avenida Santa Fe and Arenales on Uruguay 1175 in Recoleta,4813-7060 ,,www.elalamobar.com,Open 24 hours a day  every day.,y
Argentina,Buenos Aires,Henry Vince,Juncal BA,,,,,n
Argentina,Buenos Aires,Killer Bar,Castro Barros 809  Villa Crespo  Buenos Aires,4932 9261 ,,,,n
Argentina,Buenos Aires,Killkenny,Marcelo T. De Alvear 399 BA,,,,,n
Argentina,Buenos Aires,Locos por el Futbol,Vicente López 2098  Buenos Aires,4807-3777,,,A bit of a tourist bar (with the accompanying prices) but always showing the live premier league matches.,y
Argentina,Buenos Aires,Matia’s Pub,San Martin 979  Retiro  BA,(54) 1143129844,,,,n
Argentina,Buenos Aires,Matia’s Pub,Reconquista 701  Centro  BA,(54) 1143110327,,,,n
Argentina,Buenos Aires,Matia’s Pub,Echeverria 3195  Belgrano  BA,(54) 1145451050,,,,n
Argentina,Buenos Aires,Matia’s Pub,BA Design  Local 1001  Recoleta  BA,(54) 1148024141/4949,,,,n
Argentina,Buenos Aires,Matia’s Pub,Dardo Rocha 1402  Martinez  BA,(54) 47939222 ,,,,n
Argentina,Buenos Aires,Neuquen,Coronel Diaz Y Calderon  S.M. De Los Andes  BA,(54) 02972421699,,,,n
Argentina,Buenos Aires,Shamrock,Rodriguez Pena 1220 BA,,,,,n
Argentina,Merlo,William & The Monkey ,Av Del Sol 676  Merlo,,,,,n
Argentina,Rosario,O’Connels Irish Pub,Paraguay 212  Rosario,,,,,n
Armenia,Yerevan,Emile Irish Pub,Sayat-Novai Ave. 25 Yerevan,(3741) 542714  542753,,,,n
Aruba,Aruba,Buster's Sports Bar,Palm Beach 55  Aruba,(297) 586-0104 ,,,They have 25 wide screen HD flat screens,n
Aruba,Aruba,Champions Sports Bar & Grill,L.G. Smith Boulevard 101  Oranjestad  Aruba ,+297 586 9000,,,,n
Aruba,Aruba,Mulligan’s Sports Café,The Links at Divi Aruba,+297 581 4653,,,,n
Austrailia,Bungendore,Lake George Hotel,20 Gibraltar Street  Bungendore  New South Wales  2621,02 6238 1260,,www.lakegeorgehotel.com.au,Sky TV  2 Big Screen TV's,n
Austrailia,Bungendore,Royal Hotel,34 Gibraltar Street  Bungendore NSW 2621 (One street back from the Highway on the main street),02 6238 1219,,,,n
Austrailia,Camperdown,Bar 333,Camperdown Hotel  138 Parramatta Rd  Camperdown,,,,Corner of Layton St (Across the road from Camperdown Cellars).,n
Austrailia,Canberra,The City Bar,Garema Place  Canberra,,,,,n
Austrailia,Canberra,ICBM Bar,50 Northbourne Avenue  Canberra ACT 2601  Australia,,,,,n
Austrailia,Canberra,Irish Club,6 Parkinson Street  Weston ACT 2611  Australia,+61 (0) 2 6288-7451,,,,n
Austrailia,Canberra,Ginninderra Labour Club,Lhotsky Street  Charnwood ACT 2615  Australia,,,,,n
Austrailia,Canberra,Murphy's,27 East Row  Canberra City ACT 2601,+61 (0) 2 6249-1888 ,,,,n
Austrailia,Canberra,PJ O'Reilly's,West Row  Cnr Alinga Street  Canberra City ACT 2601,,,,,n
Austrailia,Canberra,Seasons Sports Bar,17 East Row  Canberra 2601,(02) 6247 1868,,,Fox  ESPN & Sky TV,n
Austrailia,Canberra,Tradesmen's,2 Badham Street  Dickson ACT 2602  Australia ,,,,,n
Austrailia,Freshwater,Harbord Diggers Club,Evans Street  Freshwater NSW 2096,9938 1444,harbordinfo@mountiesgroup.com.au,www.harborddiggers.com.au ,,n
Austrailia,Hurtsville,Hurtsville Sports Club,Forrest Road  Hurtsville  NSW,,,,,n
Austrailia,Parramatta,Champs Sports,116 James Ruse Drv  Parramatta NSW,,,,,n
Austrailia,Penrith,Penrith Gaels Club,Richmond Road  Werrington  Penrith  NSW,(02) 4722 8180,,,,n
Austrailia,Penrith,TC's Sports Bar,Mulgoa Road  Penrith NSW  2750,(02) 4720 5555,,,,n
Austrailia,Pokolbin,Harrigan's Irish Pub,Broke Road  Pokolbin  NSW 2320,(02) 4998 4300,harrigans@hvg.com.au,www.harrigans.com.au,,n
Austrailia,Sydney,The Cabana Bar and Lounge,80 Christie Street  St Leonards  Sydney NSW 2065,(02) 9436 4288,info@cabanabar.com.au,,,n
Austrailia,Sydney,Cheers Bar,561 George Street  Sydney,02 9261 8313,mail@cheersbar.com.au,www.cheersbar.com.au,,y
Austrailia,Sydney,Churchill's Sports Bar,532 Anzac Parade  Kingsford NSW 2032  Australia,(02) 9663 3648,,,Every sporting event you can think of available on the big screens.,n
Austrailia,Sydney,Cock & Bull Pub,Bondi Junction  Sydney ,(02) 9389 3004,,,,y
Austrailia,Sydney,Commodore Hotel,206 Blues Point Road  North Sydney  Sydney  NSW  Australia ,[+61] (02) 9922 5098,,,,n
Austrailia,Sydney,Coogie Bay Hotel ,Cnr. Coogee Bay Rd & Arden St  Coogee  Sydney  2034,02 9665 0000,,www.coogeebayhotel.com.au,Take your pick of sports viewing with newly refurbished sports bar boasting three separate viewing areas.,n
Austrailia,Sydney,Crest Hotel Sports Bar,111 Darlinghurst Road  Sydney 2011  Australia,(02) 9358 2755 ,sportsbar@thecresthotel.com.au,,If it's televised - it's on!,n
Austrailia,Sydney,Freeway Hotel ,Cnr Reserve Road & Gore Hill Freeway  Artarmon NSW 2064 ,(02) 9437 0000,,,,n
Austrailia,Sydney,Fuse bar,The Entertainment Quarter  Lang Road  Moore Park  Sydney  New South Wales  NSW 2021,(02) 9356 8800,,,,y
Austrailia,Sydney,GPO Sports Cafe Bar,No.1 Martin Place  Sydney  NSW,(02) 9229 7700,,,,y
Austrailia,Sydney,Hooters,132 James Ruse Drive  opposite Rosehill Race Course  Sydney,,,,,n
Austrailia,Sydney,Hurlstone Park Bowling Club,Marcia Street  Hurlstone Park  Sydney,(02) 9261 8313,,,,n
Austrailia,Sydney,Ivanhoe Hotel  Lobby Bar,27 The Corso  Manly 2095,(02) 9976 3955,info@ivanhoeofmanly.com.au,,,n
Austrailia,Sydney,Jackson's on George,178 George Street  Sydney  NSW 2000,02-9247 2727 ,,,,n
Austrailia,Sydney,Mounties,101 Meadows Road  Mt Pritchard  Sydney  NSW,,,,,n
Austrailia,Sydney,The Oaks Hotel,Neutral Bay  Sydney ,,,,Cook your own steak  drink your own beer. Just like home with better facilities!,n
Austrailia,Sydney,One World Sports Bar,Shop 1  25 Harbour Street  Darling Harbour  Sydney,(02) 9264-5200,,,With 60 screens playing non-stop action. The walls are covered with sporting memorabilia from past and present.  Mon-Fri 11am-midnight  Fri-Sat 11-5am,y
Austrailia,Sydney,The Porterhouse,Between Campbell & Riley St  Surryhill  Sydney,,,,,n
Austrailia,Sydney,The Royal Hotel,2 Perouse Road  Randwick  Sydney  NSW,,,,,n
Austrailia,Sydney,Rooty Hill RSL,Rooty Hill RSL Club & Resort,(02) 9625 5500 ,info@rootyhillrsl.com.au,,,n
Austrailia,Sydney,Scruffy Murphy’s,43 - 49 Goulburn St Sydney NSW 2000,,,www.scruffymurphys.com.au,Sydney's number 1 Irish pub  open 24 hours a day  seven days a week. Always rammed when United play! Recommended TPP,y
Austrailia,Sydney,Sports Bar,111 Darlinghurst Rd  Kings Cross  Sydney  NSW 2011,(02) 9358 2755,,,,y
Austrailia,Sydney,Sports Central at Fox Studios,Bent Street  Fox Entertainment Precinct  Moore Park  Sydney,(02) 9383 4291,,,,n
Austrailia,Sydney,Star City Casino Sports Bar,80 Pyrmont Street  Pyrmont NSW 2009,+61 2 9777 9000,,,,n
Austrailia,Sydney,The Steyne Hotel,Corner The Corso and Ocean Beach  Manly  NSW 2095,+61 2 9977 4977,,,,n
Austrailia,Sydney,St Marys Band Club,411 Great Western Highway  St Marys NSW,(02) 9623 1211,info@stmarysbandclub.com.au,,,n
Austrailia,Sydney,Universale Hotel,Level 1  Norton Plaza  55 Norton Street Leichhardt NSW 2040 ,,,,,n
Austrailia,Sydney,Wallaby Bar,The Promenade North  201 Sussex St  Cockle Bay Wharf  Darling Harbour  2000,(02) 9267 7099,,www.wallabybar.com.au,,n
Austrailia,Sydney,Westin Hotel,No.1 Martin Place  Sydney  NSW,,,,,n
Austrailia,Tuggeranong,PJ O'Reilly's,Homeworld Cntr  Tuggeranong NSW 2900,,,,,n
Austrailia,Alice Springs,Sports Bar,All Seasons Oasis  10 Gap Road  Alice Springs  NT 0870,,,,,n
Austrailia,Alice Springs,Sports Bar,Desert Palms  74 Barrett Drive  Alice Springs,,,,,n
Austrailia,Darwin,Blue Heeler Bar,Herbert St (cnr Mitchell St)  Darwin NT,(08) 8941 7945,,,,n
Austrailia,Darwin,Lizards Bar,Top End Hotel cnr Mitchell & Daly Streets  Darwin,+ 61 (0) 8 8981 6511,,,,n
Austrailia,Darwin,Shenannigan's Bar,Mitchell Street  Darwin,,,,,n
Austrailia,Darwin,Squires Tavern,3 Edmunds Street Darwin,8981 9761,,,,n
Austrailia,Darwin,Top End Hotel,Mitchell Street (corner Daly Street) Darwin,8981 6511,,,Has Darwin's biggest beer garden with it's own Sports Bar and 'Gentleman's' club.,n
Austrailia,Brisbane,Adrenalin Sports Bar,127 Charlotte St  Brisbane  4000,(07) 3229 1515 ,info@adrenalinsportsbar.com.au,,,n
Austrailia,Brisbane,Britannia Inn,Level 3  Wintergarden Centre  Queen Street Mall,,,,,n
Austrailia,Brisbane,Elephant & Wheelbarrow,230 Wickham Street  Fortitude Valley  Brisbane QLD 4006  Australia,,,,,n
Austrailia,Brisbane,Lord Stanley Hotel,1000 Stanley Street East  East Brisbane   4169,(07) 3435 1900,lsh@lordstanleyhotel.com.au,,,n
Austrailia,Brisbane,Mustang Bar ,633 Ann St  Fortitude Valley  QLD 4006,(07) 3257-4439 or 0403430463,sam@mustangbar.com.au,,Between Empire & Monastry,n
Austrailia,Brisbane,O`Malley's,171/209 Queen Street  Brisbane,,,,,n
Austrailia,Brisbane,Pig & Whistle,Bottom of Queen Street Mall  Queen Street  Brisbane QLD,+61 7 3229 9999,queenst@pignwhistle.com.au,www.pignwhistle.com.au,,n
Austrailia,Brisbane,Pig & Whistle,Riverside Centre  123 Eagle St. Brisbane.,,,www.pignwhistle.com.au,,n
Austrailia,Brisbane,Shafston Hotel,Lytton Road  East Brisbane QLD 4169,(07) 3391 5772,,,,n
Austrailia,Cairns,P.J.O'Brien's,Lake Street  Cairns ,(07) 4031 5333,,www.pjobriens.com.au/pj_main.htm,,n
Austrailia,Chermside,Kedron-Wavell Services Club,375 Hamilton Rd  Chermside,(07) 3359 9122,enquiries@kedron-wavell.com.au,,,n
Austrailia,Coorparoo,East Leagues Club,Langlands Park  1 Main Avenue  Coorparoo  QLD 4151,(07) 3397 8885,reception@eastsleagues.com.au,,,n
Austrailia,Fortitude Valley,The Mustang Bar,633 Ann St  Fortitude Valley  QLD 4006,(07) 3257-4439,,,,n
Austrailia,Indooropilly,Pig 'n' Whistle,Indooroopilly Shooping Centre Corner of Musgrave and Station Roads,+61 7 3878 8899,indooroopilly@pignwhistle.com.au,www.pignwhistle.com.au,,n
Austrailia,Maroochydore,Pig & Whistle,Sunshine Plaza  Horton Pde  Maroochydore QLD ,+61 7 5451 0599,,,,n
Austrailia,Morningside,Colmslie Hotel,Cnr Junction & Wynnum Rds  Morningside QLD 4170 ,(07) 3399 8222,,,,n
Austrailia,Red Hill,Alfies Sports Bar,Fulcher Road  Red Hill 4059,(07) 3858 9000 ,kated@broncosleagues.com.au,,,n
Austrailia,Adelaide,Brompton Park Hotel,51st Street  Brompton  Adelaide,,,,,n
Austrailia,Adelaide,Celtic Clubrooms,Dauntsey Road  Elizabeth  Adelaide ,,,,,n
Austrailia,Adelaide,Cooper's Alehouse at the Earl,16 Pulteney Street  Adelaide 5000,(08) 8223 6433 ,alehouse@earlofab.com.au,,,n
Austrailia,Adelaide,The Rosemont Hotel,160 Hindley Street  Adelaide,0 8221 5156,,,24 hour sports bar ,n
Austrailia,Adelaide,Squatters Arms,George Street  The Barton  Adelaide ,8443 4563 ,,,,n
Austrailia,Adelaide,Wee Irish Pub,Causeway Road  Port Adelaide ,0417 809059,,,,n
Austrailia,Brighton,Esplanade Hotel,135a Esplanade  Brighton 5048,(08) 8296 7177,,,,n
Austrailia,Balaclava,Inkerman Hotel,375 Inkerman Street  Balaclava,(03) 9527-2176,,,,n
Austrailia,Melbourne,Celtic Club,Corner of La Trobe & Queen Streets,(03) 9691 7444,,www.celticclub.com.au,,n
Austrailia,Melbourne,Charles Dickens Tavern,282-290 Collins St  Melbourne VIC 3000  Australia,+61 3 9654 1821,,,,n
Austrailia,Melbourne,Coopers Inn,282 Exhibition Street (Cnr Exhibition & Little Lonsdale Sts)  Melbourne 3000 ,+613 9639 2111 ,coopersinn@ozemail.com.au ,,,n
Austrailia,Melbourne,Daniel O'Donnell's,Canning Street  Carlton  Melbourne ,934 71502,,,,n
Austrailia,Melbourne,Elephant & Wheelbarrow,94-96 Bourke Street  Melbourne VIC 3000 (On the corner of Bourke St and Exhibition St),03 9639 8444 ,,www.bourkest.elephantandwheelbarrow.com.au,,n
Austrailia,Melbourne,The Elephant and Wheelbarrow,169 Fitzroy Street St Kilda  Victoria 3182  Australia,,,,It's part of a chain of pubs around Australia. The Elephant & Wheelbarrow has large screen TVs,n
Austrailia,Melbourne,Fluid Oz (International Backpackers),450 Elizabeth St  Melbourne  Victoria,,,,,n
Austrailia,Melbourne,Keepers Arms,351 Queensberry Street North Melbourne ,9329 7081,,,,n
Austrailia,Melbourne,Kilmore Racing Club,East Street - Kilmore  Melbourne  VIC,,,,,n
Austrailia,Melbourne,Pint on Punt,Punt Rd  Windsor  Melbourne,(03) 9510 3310,,,,n
Austrailia,Melbourne,Prince Albert Hotel,149 Douglas Parade  Williamstown  Melbourne,,,,,n
Austrailia,Melbourne,Pugg Mahone's,106-112 Hardware St  Melbourne VIC 3000  Australia,+61 3 9810 0060,,,Traditional Irish-styled pub,n
Austrailia,Melbourne,South Oakleigh Club,1 Victor Rd  Bentleigh East VIC 3165  Australia,+61 3 9579 4855,,,,n
Austrailia,Richmond,Vaucluse Hotel,157 Swan Street  Richmond  Victoria,9428-7447,,,,n
Austrailia,South Yarra,Rush Sports Bar,134 Toorak Road  South Yarra 3141,+613 9866 8999 ,rush@rushbar.com.au,,11am - 1am Daily,n
Austrailia,Toorak,Bush Inn Hotel,505 Malvern Rd  TOORAK VIC 3142,(03) 9827 3610,,,,n
Austrailia,Hobart,Claremont Hotel Sports Bar,1 Main Rd  Claremont  7011,,,,,n
Austrailia,Hobart,Sports Bar Wrest Point,410 Sandy Bay Road  Hobart 7005,+61 3 6211 1750 ,email@wrestpoint.com.au,,,n
Austrailia,Launceston,Hotel Tasmania,191 Charles Street  Launceston TAS 7250,(03) 6331 7355,hotel@saloon.com.au,,,n
Austrailia,Burswood,Champions Bar,BURSWOOD CASINO Great Eastern Highway  Burswood  Western Australia 6100,+61 8 9362 7777,,,,n
Austrailia,Fremantle,Davilak Tavern,396 South Terrace  Fremantle,,,,,n
Austrailia,Fremantle,Edz Sports Bar,2 Cockburn Rd South Fremantle 6162. WA ,08 9335 1759,,,,n
Austrailia,Fremantle,Moondyne Joe's,73 Wray Ave  (Cnr Hampton Road)  Fremantle  Western Australia 6160,08 9430 5513,,,The big screen TV in the Sports Bar telecasts all AFL  UK Football  Rugby  NRL  Boxing  International Cricket and other major sporting events on channels such as Fox Sport  ESPN and Setanta  All events  where possible are shown live. Recommended TPP,y
Austrailia,Fremantle,Rosie O'Grady's,23 William St  Fremantle,+61 8 9335 1645,,,,n
Austrailia,Greenwood,Greenwood Hotel,349 Warwick Road  Greenwood  Western Australia 6024,08 9246 9711 ,mail@greenwoodhotel.com.au,,,n
Austrailia,Leederville,Fibber McGhee's,711 Newcastle St  Leederville WA 6007  Australia,+61 8 9227 0800 ,,,,n
Austrailia,Northbridge,Mustang Bar ,46 Lake St  Northbridge  WA 6003 ,08 9328-2350,,,,n
Austrailia,Perth,All Night Pizza,714 Albany Hwy  Victoria Park 6100  Perth,08 9470-9292,,,Bring your own booze!,n
Austrailia,Perth,Broadwater Pago Da Hotel,Melville Parade  Como  Perth ,61 89 36 70300 ,,,,n
Austrailia,Perth,The Civic Hotel,Beauford Street  Inglewood  Perth 6052 ,0892 721011,,,,n
Austrailia,Perth,Elephant & Wheelbarrow,53 – 55 Lake Street  Northbridge  Perth WA 6003,,,,,n
Austrailia,Perth,Greenwood Sports Bar,Greenwood Hotel  349 Warwick Road  Greenwood  Perth W.A. ,08 9246 9711,,,,n
Austrailia,Perth,Hyde Park Hotel,331 Bulwer St  West Perth  WA 6005,08 9328 6166,,,,n
Austrailia,Perth,The Irish Club of Western Australia,Townshend Road  Subiaco,+61 8 9381 5213,,www.irishclubofwa.com.au,,n
Austrailia,Perth,Moon & Sixpence,300 Murray St  Perth ,+61 08 9309 4288 ,,,,n
Austrailia,Perth,Mustang Bar,46 Lake St  Northbridge  Perth  WA 6003,,info@mustangbar.com.au,,,n
Austrailia,Perth,Perth Recreation Club,2 Plain Street  Perth  WA,,,,,n
Austrailia,Perth,Rosie O'Grady's,205 James St  Northbridge  Perth,+61 8 9328 1488,,,,n
Austria,Graz,Brot & Spiele,Mariahilferstrasse 17  8020 Graz,,,,,n
Austria,Graz,Flann O'Brien,Paradeisgasse 1  8010 Graz  Austria,[+43] 316 829620,,,,n
Austria,Graz,Sports Bar,Glockenspielplatz 2-3  8010 Graz ,+43 316 814781 ,,,,n
Austria,Graz,Willi Strunz,Herrgottwiesgasse 260  8055 Graz-Puntigam,+43 31 629 6252,,,,n
Austria,Linz,Chelsea Pub,Domgasse 5  Linz  Austria,[+43] (0) 70 779409,,,2 Plasma TVs and 2 TVs showing all sports,n
Austria,Linz,Kitty Kiernan's,Hessenplatz 19  Linz,[+43] 732 778 439,,,,n
Austria,Linz,The Old Dubliner,Hauptplatz 15  Linz,[+43] (732) 776 202,,,The first Irish Pub and Sports Bar in Linz. Over 60 international beers. All sports shown on 5 TV's. Small pub  HUGE atmosphere!,y
Austria,Salzburg,Shamrock,Rudolfskai 12  Salzburg 5020,,,,Sky Sports on the big screen,n
Austria,Soll,Salven Stadl,Dorf 133  Söll  Tirol,,,,,n
Austria,Vienna,Billy Bones Irish Pub,Schlickplatz 4  Vienna,0043/1310 97 80,,www.billysbones.com/BBframeone.htm,good pub with quality food  they show MOST Utd games and have many channels.,y
Austria,Vienna,Charlie P's,Wahringer Strasse 3  1090 Vienna.,+43 1 409 7923,,,,n
Austria,Vienna,Flanagans Irish Pub,Schwarzenbergstrasse  1010 - near Stephansdom/ Stadtpark stations. ,,,,,n
Austria,Vienna,Flann O'Brien,Paradeisgasse 1,,,,,n
Austria,Vienna,The Irish House,Passauer Platz 2  1010 Innere Stadt  Wien  Austria,+43 1 5359682,,,,n
Austria,Vienna,Molly Darcy's Irish Pub,Teinfaltstraÿe 6  Vienna  Austria,(43) 1 533 23 11 ,,,Shows all the top premiership games,y
Austria,Vienna,The Office Pub,Trauttmannsdorfgasse 3,,,,,n
Austria,Vienna,Shebeen The International Pub,Vienna  Lerchenfelderstrasse 45  1070 Vienna,+43 1 5247900,,www.shebeen.at,Show most League games which are live on sky sports  check their website first,y
Azerbaijan,Baku,Adam’s Diner Bar,29 Byul-Byul Ave. Baku,934061  971382,,,,n
Azerbaijan,Baku,Charlies,Hand Game Palace  Baku,92-1537989458,,,Popular expat hangout,n
Azerbaijan,Baku,The Clansman Bar,9 Aliyarbayov Street  Baku  Azerbaijan,(99412) 598 4621,,,,n
Azerbaijan,Baku,Finnegan’s,2 Injesenet st. Baku,98-98-57,,,Popular with ex-pats  lively,y
Azerbaijan,Baku,O'Malleys,The Caledonia  Nizami Street,,,,,n
Azerbaijan,Baku,O' Malley's Irish Pub ,73  Nizami St  Baku ,498-43-32,,,,n
Azerbaijan,Baku,The Sports Bar,16 Uzer Gadgebekov Street  Baku,050 23 1615,,,,n
Bahamas,Freeport,Shenanigan's Irish Pub,Port Lucaya Marketplace  Grand Bahamas Island  The Bahamas,(242) 373-4734,butlers@batelnet.bs,,Irish bar with plasma screens,n
Bahamas,Lucaya,The Next Level,Seagrapes Shopping Centre on Prince Charles Drive. ,242-364-5174,,,,n
Bahamas,Nassau,Atlas Bar & Grill,Located in the Atlantis casino on Paradise Island,,,,,n
Bahamas,Nassau,Columbus Tavern,on Paradise Island. ,,,,They have a bar area with a flat screen HDTV and have happy hours every day from 5-7pm,n
Bahamas,Nassau,Cozy Corner Bar & Pub,Bay Street in the Olde Towne Mall at Sandyport. ,,,,,n
Bahamas,Nassau,First Down,Bay Street just west of the Paradise Island bridge.,,,,,n
Bahamas,Nassau,Phil's Deli Sports Bar & Grill,Located in the Wyndham Nassau Resort on Bay Street (Cable Beach),242-327-6200,,,,n
Bahamas,Nassau,The Poop Deck,Sandy Port on Cable Beach,,,,They have a separate bar area with two flat screen TVs,n
Bahamas,Nassau,Shooter's,Waterloo nightclub  on Bay Street  east of Paradise Island Bridge,242-393-7324 ,,,,n
Bahrain,Adliya,Anchorage Bar,Palace Inn Hotel,1772 5000,,,Pool tables and big screen TVs,n
Bahrain,Adliya,Clipper Bar,Inter Continental Regency Bahrain  Central Business district,,,,,n
Bahrain,Adliya,Cosmos,Ramee International,1772 7230,,,,n
Bahrain,Adliya,Diggers,Delmon International Hotel,17862 888,,,,n
Bahrain,Adliya,El Samar Bar,Panorama Hotel,1782 6888,,,,n
Bahrain,Adliya,The Exchange,Ramada Hotel  Adliya,1774 2000,,,Pool  darts  satellite TV,n
Bahrain,Adliya,Fiddlers' Green ,Diplomat Radisson SAS,1753 1666,,,Irish bar with big screens,n
Bahrain,Adliya,Hunters Lodge,Adhari Hotel,1722 4242,,,great bar to watch the big match,n
Bahrain,Adliya,JJ’s Irish Pub,Hasan Bin Thabit Avenue  Adliya  Bahrain,,,,,n
Bahrain,Adliya,Maguires,Mansouri Mansions,1771 6999,,,Irish pub  sports shown upstairs,n
Bahrain,Adliya,Rock Village,Baisan Tower  Exhibition Area,1729 0555,,,Open til 2am,n
Bahrain,Adliya,Sherlocks,Gulf Hotel  Adliya,1774 2450,,,English pub  great fish & chips  football shown on big screens,y
Bahrain,Adliya,Tracks,Crowne Plaza Hotel  Diplomatic quarter,1753 1122,,,A sports bar with big screens everywhere showing live football ,n
Bahrain,Adliya,Warbler,Baisan International,1790 6600,,,This is one of the biggest bars in Bahrain and also one of the busiest. A great venue for watching football  and on weekends it is filled with British expats,y
Bahrain,Adliya,Wendy’s Café,Gulf Gate Hotel,1721 0210,,,European style pub,n
